size,edges,red. ratio,time_lumping,memory (MB),graph
5,3,0.125,0.0011737346649169922,0.01832103729248047,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 3), (1, 3), (1, 4)])"
6,6,0.09375,0.001524209976196289,0.015899658203125,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(0, 4), (3, 4), (1, 5), (1, 4), (0, 2), (2, 5)])"
7,9,0.0703125,0.0029282569885253906,0.02492523193359375,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(0, 1), (2, 4), (0, 4), (3, 4), (5, 6), (3, 6), (1, 6), (1, 3), (3, 5)])"
8,12,0.0390625,0.005556583404541016,0.034340858459472656,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(0, 7), (1, 2), (0, 4), (3, 4), (3, 7), (5, 7), (2, 3), (6, 7), (4, 5), (3, 6), (4, 7), (3, 5)])"
9,11,0.017578125,0.012586355209350586,0.08220100402832031,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8]) -- (Edges: [(1, 5), (5, 7), (0, 6), (8, 5), (8, 0), (1, 7), (2, 6), (1, 6), (0, 8), (2, 5), (4, 7)])"
10,17,0.015625,0.027699708938598633,0.16047286987304688,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]) -- (Edges: [(0, 7), (9, 7), (1, 5), (8, 7), (9, 6), (0, 3), (4, 6), (0, 6), (9, 5), (1, 7), (4, 5), (2, 6), (8, 6), (3, 6), (1, 3), (4, 7), (3, 5)])"
11,17,0.0068359375,0.05999183654785156,0.3442840576171875,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) -- (Edges: [(2, 4), (9, 7), (0, 4), (8, 1), (3, 7), (0, 3), (8, 10), (10, 7), (5, 7), (9, 5), (0, 2), (8, 9), (5, 6), (10, 3), (1, 6), (2, 5), (1, 3)])"
12,13,0.003173828125,0.08470916748046875,0.6111984252929688,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) -- (Edges: [(0, 1), (9, 10), (2, 7), (1, 5), (9, 3), (4, 7), (9, 5), (8, 9), (3, 6), (9, 11), (1, 3), (11, 4), (3, 5)])"
13,27,0.0025634765625,0.1709427833557129,1.2557220458984375,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) -- (Edges: [(12, 7), (8, 0), (8, 9), (10, 6), (10, 3), (8, 12), (0, 8), (3, 12), (8, 2), (9, 4), (0, 7), (10, 5), (10, 11), (0, 4), (0, 10), (12, 5), (4, 7), (3, 11), (8, 4), (9, 3), (8, 7), (11, 3), (10, 7), (1, 4), (2, 3), (11, 12), (1, 7)])"
14,24,0.00115966796875,0.3573262691497803,2.4156875610351562,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) -- (Edges: [(3, 4), (3, 13), (0, 5), (1, 6), (0, 11), (1, 12), (8, 11), (9, 4), (10, 2), (0, 7), (10, 11), (1, 5), (1, 11), (0, 13), (2, 10), (12, 5), (4, 7), (8, 4), (4, 13), (9, 6), (10, 7), (0, 12), (2, 3), (13, 6)])"
