size,edges,kappa,time_iteration,memory (MB),graph
5,4,1,0.07711911201477051,1.1771392822265625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 4), (0, 3), (3, 4), (1, 4)])"
5,7,6,0.12008810043334961,0.4468250274658203,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (2, 4), (0, 4), (3, 4), (0, 3), (2, 3), (1, 3)])"
6,7,1,0.04880023002624512,0.16690349578857422,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(0, 1), (1, 2), (0, 3), (1, 4), (0, 2), (4, 5), (0, 5)])"
6,7,8,0.15392708778381348,0.5547285079956055,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(0, 1), (1, 2), (0, 4), (1, 4), (0, 2), (0, 5), (3, 5)])"
7,8,1,0.04983234405517578,0.17140865325927734,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(0, 1), (2, 4), (1, 5), (0, 6), (2, 3), (4, 5), (2, 5), (1, 3)])"
7,8,12,0.21541213989257812,0.8957300186157227,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(2, 4), (1, 2), (3, 4), (0, 3), (4, 6), (0, 6), (5, 6), (3, 5)])"
8,14,1,0.07599043846130371,0.21462154388427734,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(0, 4), (2, 7), (1, 5), (0, 3), (4, 6), (1, 4), (2, 3), (0, 2), (4, 5), (2, 6), (0, 5), (1, 3), (4, 7), (3, 5)])"
8,13,16,0.410144567489624,1.6914663314819336,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(1, 2), (0, 4), (3, 4), (2, 7), (1, 5), (0, 3), (4, 6), (2, 3), (6, 7), (0, 2), (4, 5), (0, 5), (1, 3)])"
9,12,1,0.059387922286987305,0.20355606079101562,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8]) -- (Edges: [(0, 4), (8, 7), (3, 7), (0, 2), (1, 7), (2, 6), (4, 5), (0, 5), (1, 6), (1, 3), (3, 5), (8, 2)])"
9,12,23,0.6008198261260986,2.14585018157959,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8]) -- (Edges: [(0, 4), (3, 4), (8, 7), (3, 7), (4, 6), (8, 0), (0, 6), (8, 3), (4, 5), (1, 6), (0, 8), (8, 5)])"
10,11,1,0.05999422073364258,0.20801353454589844,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]) -- (Edges: [(1, 2), (3, 4), (8, 1), (8, 7), (9, 6), (5, 7), (0, 6), (2, 3), (9, 5), (2, 6), (5, 6)])"
10,17,32,1.090691089630127,4.230660438537598,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]) -- (Edges: [(0, 7), (2, 4), (1, 2), (8, 4), (9, 3), (8, 1), (9, 6), (0, 9), (0, 6), (2, 3), (6, 7), (1, 7), (8, 9), (3, 6), (1, 6), (2, 5), (9, 7)])"
11,15,1,0.0668792724609375,0.22517108917236328,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) -- (Edges: [(0, 1), (0, 7), (1, 2), (0, 4), (8, 4), (2, 7), (9, 2), (10, 7), (8, 5), (4, 5), (5, 6), (2, 5), (9, 7), (4, 7), (9, 4)])"
11,18,46,1.781963586807251,6.478468894958496,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) -- (Edges: [(0, 1), (2, 4), (1, 2), (8, 1), (3, 7), (9, 4), (9, 6), (10, 7), (5, 7), (0, 2), (4, 5), (2, 6), (10, 6), (3, 6), (1, 6), (4, 7), (3, 5), (8, 2)])"
12,24,1,0.08382272720336914,0.300567626953125,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) -- (Edges: [(9, 2), (8, 0), (8, 6), (10, 3), (9, 11), (0, 8), (0, 11), (9, 7), (10, 2), (9, 4), (2, 4), (2, 7), (1, 11), (2, 10), (6, 7), (3, 5), (8, 4), (8, 7), (10, 4), (0, 3), (1, 4), (0, 6), (11, 6), (1, 7)])"
12,19,64,3.083042621612549,9.303607940673828,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) -- (Edges: [(9, 2), (0, 5), (1, 6), (1, 3), (2, 11), (0, 11), (5, 6), (0, 7), (10, 5), (0, 4), (1, 5), (6, 7), (4, 7), (9, 3), (8, 1), (10, 4), (0, 6), (11, 6), (2, 6)])"
13,29,1,0.1032102108001709,0.3420753479003906,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) -- (Edges: [(12, 4), (4, 6), (4, 12), (0, 5), (11, 5), (9, 11), (1, 3), (1, 9), (5, 6), (3, 12), (8, 2), (9, 1), (8, 5), (11, 4), (0, 1), (9, 10), (10, 11), (0, 4), (2, 7), (6, 7), (8, 4), (9, 3), (8, 7), (9, 6), (9, 12), (10, 7), (1, 4), (2, 3), (11, 12)])"
13,24,91,8.233966588973999,16.42592430114746,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) -- (Edges: [(12, 4), (3, 4), (3, 7), (4, 6), (4, 12), (8, 9), (0, 5), (11, 5), (1, 3), (2, 11), (4, 5), (3, 12), (8, 2), (0, 7), (2, 4), (1, 11), (6, 7), (9, 3), (8, 7), (10, 4), (0, 3), (0, 9), (1, 4), (2, 6)])"
14,41,1,0.12281036376953125,0.4323101043701172,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) -- (Edges: [(3, 7), (8, 0), (5, 13), (3, 13), (0, 2), (8, 3), (9, 5), (0, 5), (10, 3), (8, 6), (1, 6), (0, 8), (13, 5), (1, 9), (10, 12), (4, 5), (5, 6), (3, 12), (8, 2), (9, 1), (11, 4), (0, 1), (11, 7), (2, 4), (1, 2), (0, 4), (0, 10), (2, 7), (0, 13), (3, 5), (3, 11), (4, 13), (10, 4), (11, 3), (9, 12), (10, 7), (0, 6), (0, 12), (1, 13), (2, 6), (1, 10)])"
14,42,128,148.23131370544434,39.90215873718262,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) -- (Edges: [(12, 4), (4, 12), (3, 13), (0, 2), (8, 3), (8, 9), (0, 5), (10, 3), (2, 5), (1, 3), (1, 9), (12, 6), (3, 6), (3, 12), (8, 2), (9, 1), (9, 7), (11, 4), (8, 11), (10, 2), (11, 7), (2, 4), (1, 2), (10, 11), (13, 7), (1, 11), (2, 10), (2, 13), (6, 7), (4, 7), (3, 11), (8, 4), (4, 13), (9, 3), (9, 6), (0, 3), (11, 3), (8, 10), (1, 4), (11, 6), (2, 6), (13, 6)])"
15,44,1,0.132293701171875,0.457244873046875,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) -- (Edges: [(12, 4), (12, 7), (4, 12), (8, 0), (5, 13), (8, 3), (8, 9), (11, 5), (1, 6), (0, 8), (2, 5), (0, 14), (1, 9), (13, 5), (11, 14), (1, 12), (12, 6), (3, 6), (8, 2), (9, 1), (9, 7), (11, 4), (8, 5), (9, 10), (0, 7), (2, 4), (10, 5), (11, 7), (0, 10), (10, 11), (1, 5), (13, 7), (10, 14), (11, 13), (3, 5), (8, 7), (0, 3), (9, 12), (10, 7), (0, 6), (11, 6), (8, 13), (2, 12), (13, 6)])"
15,38,182,14.435098886489868,51.320488929748535,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) -- (Edges: [(12, 7), (3, 7), (4, 6), (5, 7), (8, 0), (3, 13), (0, 2), (8, 6), (0, 8), (2, 5), (10, 12), (2, 14), (4, 5), (5, 6), (3, 6), (3, 12), (4, 14), (8, 5), (8, 11), (0, 1), (11, 7), (2, 4), (10, 5), (0, 4), (8, 14), (10, 11), (1, 5), (6, 7), (3, 14), (4, 13), (9, 3), (10, 4), (0, 3), (10, 13), (1, 7), (2, 6), (13, 6), (1, 10)])"
5,1,1,0.07095718383789062,1.1642122268676758,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 3)])"
5,3,6,0.07273149490356445,0.2653617858886719,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 3), (1, 2), (3, 4)])"
6,9,1,0.05324816703796387,0.18544673919677734,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(2, 4), (1, 2), (0, 3), (1, 4), (4, 5), (0, 5), (2, 5), (1, 3), (3, 5)])"
6,3,8,0.17397499084472656,0.553706169128418,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(0, 1), (1, 2), (3, 5)])"
7,6,1,0.04652881622314453,0.15729904174804688,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(1, 2), (1, 5), (0, 3), (4, 6), (4, 5), (1, 6)])"
7,9,12,0.2464601993560791,1.0071687698364258,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(2, 4), (0, 4), (3, 4), (4, 6), (2, 6), (5, 6), (3, 6), (1, 6), (2, 5)])"
8,10,1,0.0551447868347168,0.19753074645996094,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(0, 1), (0, 7), (2, 7), (3, 7), (0, 6), (1, 7), (4, 5), (5, 6), (1, 3), (4, 7)])"
