size,edges,time_lumping,kappa,time_iteration,memory (MB),graph
5,3,0.0008046000000001552,1,2.1000000000048757e-05,0.018646240234375,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 3), (1, 2), (0, 4)])"
5,3,0.000733899999999954,6,3.4400000000101016e-05,0.01624298095703125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 2), (2, 4), (3, 4)])"
5,4,0.000609899999999941,1,1.3500000000110646e-05,0.01856231689453125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 3), (2, 4), (0, 4), (3, 4)])"
5,4,0.0005821000000001408,6,3.2000000000032e-05,0.01502227783203125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 3), (0, 2), (0, 4), (2, 4)])"
5,3,0.0004877999999999272,1,1.0099999999901854e-05,0.0139312744140625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 2), (0, 4), (2, 4)])"
5,2,0.0005253000000000618,6,3.3300000000124896e-05,0.0138702392578125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (1, 2)])"
5,4,0.0005987999999998994,1,1.3400000000052259e-05,0.01490020751953125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 2), (0, 3), (2, 4), (1, 4)])"
5,4,0.0005621000000000098,6,3.210000000009039e-05,0.0148468017578125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (0, 2), (1, 2), (0, 4)])"
5,2,0.0005699999999999594,1,9.399999999937236e-06,0.01373291015625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 2), (3, 4)])"
5,4,0.0006071999999999189,6,3.339999999996124e-05,0.01772308349609375,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (2, 4), (1, 3), (3, 4)])"
5,2,0.0005671999999998789,1,8.600000000136276e-06,0.0136566162109375,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 2), (0, 3)])"
5,2,0.0005271000000000026,6,2.9700000000021376e-05,0.01361083984375,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 2), (0, 4)])"
5,6,0.0006095999999999879,1,1.5799999999899228e-05,0.01755523681640625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (2, 4), (3, 4), (0, 3), (0, 2), (1, 3)])"
5,3,0.0005607999999999169,6,3.060000000010277e-05,0.01360321044921875,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (0, 2), (1, 2)])"
5,7,0.000620800000000088,1,1.2300000000076139e-05,0.01727294921875,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (1, 2), (0, 4), (3, 4), (0, 3), (1, 4), (0, 2)])"
5,5,0.0006281999999999677,6,2.9199999999951487e-05,0.01752471923828125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 4), (1, 2), (0, 4), (1, 4), (1, 3)])"
5,2,0.0005828000000001055,1,1.7200000000050508e-05,0.0135498046875,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 3), (1, 4)])"
5,5,0.0006622000000000572,6,3.310000000000812e-05,0.0192413330078125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 4), (3, 4), (2, 3), (0, 2), (1, 3)])"
5,3,0.0005649000000000903,1,9.800000000170783e-06,0.0146026611328125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (0, 2), (0, 3)])"
5,1,0.0004934999999999246,6,3.0799999999997496e-05,0.01169586181640625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(3, 4)])"
5,3,0.0005701000000000178,1,1.1699999999947863e-05,0.01458740234375,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (0, 2), (1, 3)])"
5,2,0.0005539000000001071,6,2.9899999999916105e-05,0.01351165771484375,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 3), (1, 3)])"
5,5,0.0006900999999999158,1,1.3900000000122148e-05,0.0174713134765625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 4), (1, 2), (0, 4), (0, 2), (1, 3)])"
5,4,0.0006019999999999914,6,2.9700000000021376e-05,0.01751708984375,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 3), (2, 4), (0, 3), (0, 4)])"
5,3,0.0005604999999999638,1,9.200000000042508e-06,0.01454925537109375,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 3), (0, 2), (1, 2)])"
5,4,0.0006047999999998499,6,2.9899999999916105e-05,0.0175018310546875,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 2), (0, 3), (0, 4), (2, 4)])"
5,2,0.0005321000000000353,1,1.1100000000041632e-05,0.01346588134765625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 3), (1, 4)])"
5,3,0.0005654999999999966,6,2.7299999999952362e-05,0.01453399658203125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (2, 4), (3, 4)])"
5,5,0.0006170000000000897,1,1.2600000000029254e-05,0.01743316650390625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 4), (0, 4), (3, 4), (1, 4), (0, 2)])"
5,4,0.0005834000000000117,6,2.969999999979933e-05,0.01453399658203125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 3), (2, 4), (0, 3), (3, 4)])"
5,1,0.0005323999999999884,1,7.69999999983284e-06,0.01163482666015625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 3)])"
5,5,0.0006147000000000791,6,3.050000000004438e-05,0.01743316650390625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (0, 4), (3, 4), (0, 3), (0, 2)])"
5,4,0.0006375000000000686,1,1.0799999999866472e-05,0.01453399658203125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (0, 3), (1, 3), (1, 4)])"
5,4,0.0006325000000000358,6,5.689999999991535e-05,0.01749420166015625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 3), (0, 2), (3, 4), (1, 4)])"
5,3,0.0006361999999999757,1,9.499999999995623e-06,0.01453399658203125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 3), (3, 4), (1, 4)])"
5,4,0.0006538000000000377,6,3.560000000013552e-05,0.01749420166015625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 3), (0, 2), (1, 2), (0, 4)])"
5,4,0.0005745999999999807,1,1.2499999999970868e-05,0.01453399658203125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 3), (0, 3), (0, 4), (3, 4)])"
5,2,0.0005503999999998399,6,2.9399999999846216e-05,0.01346588134765625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 2), (0, 3)])"
5,4,0.0006287000000000376,1,1.1399999999994748e-05,0.01453399658203125,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 2), (0, 3), (0, 4), (2, 4)])"
5,5,0.0006101000000000578,6,3.580000000003025e-05,0.01743316650390625,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 4), (3, 4), (0, 3), (1, 4), (0, 2)])"
