size,clauses,red. ratio,time_lumping,memory (MB),formula
5,14,0.1875,0.0036547183990478516,0.022016525268554688,[(-x_1 v x_4 v -x_0) ^ (x_3 v -x_0) ^ (-x_1 v -x_3 v -x_0) ^ (x_3 v -x_1 v x_4) ^ (x_3 v x_1 v -x_4) ^ (-x_4 v -x_2 v -x_3) ^ (x_1 v x_4 v -x_0) ^ (x_3 v x_1) ^ (-x_1 v x_4 v x_2) ^ (-x_1 v x_2 v -x_0) ^ (x_0 v x_1) ^ (x_1 v -x_2 v x_4) ^ (-x_1 v -x_2 v x_4) ^ (-x_1 v -x_0 v -x_3)]
5,13,0.15625,0.004036664962768555,0.020963668823242188,[(x_2 v -x_3) ^ (x_0 v x_4 v -x_3) ^ (x_3 v x_1 v -x_4) ^ (x_0 v -x_2 v -x_3) ^ (x_3 v x_1 v x_0) ^ (x_1 v x_4 v -x_0) ^ (x_0 v -x_1 v -x_2) ^ (-x_1 v x_4 v x_2) ^ (x_1 v -x_2 v -x_0) ^ (-x_1 v -x_0) ^ (x_4 v -x_3) ^ (-x_1 v -x_2 v -x_0) ^ (x_3 v -x_1 v -x_2)]
5,9,0.125,0.002396821975708008,0.01870250701904297,[(x_0 v -x_2) ^ (x_0 v x_4 v x_2) ^ (-x_1 v -x_2 v x_0) ^ (x_3 v x_1 v -x_4) ^ (x_1 v -x_4 v x_2) ^ (x_1 v -x_2 v -x_0) ^ (-x_4 v -x_3) ^ (x_3 v x_4) ^ (x_3 v x_4 v -x_0)]
5,10,0.15625,0.002442598342895508,0.02091503143310547,[(x_3 v -x_2) ^ (-x_1 v -x_2) ^ (x_3 v -x_1 v x_2) ^ (-x_1 v -x_4) ^ (x_0 v x_1 v x_2) ^ (-x_1 v -x_4 v -x_3) ^ (x_1 v -x_0) ^ (-x_4 v -x_3) ^ (x_3 v x_4) ^ (x_1 v x_4)]
5,8,0.125,0.0016751289367675781,0.01899242401123047,[(x_0 v x_4) ^ (x_0 v -x_4 v -x_2) ^ (x_0 v -x_3) ^ (x_1 v x_4 v -x_0) ^ (x_0 v x_1 v x_3) ^ (-x_1 v -x_2 v -x_0) ^ (-x_4 v -x_3 v -x_0) ^ (-x_0 v -x_4 v -x_3)]
5,5,0.09375,0.0030710697174072266,0.01712322235107422,[(x_0 v -x_1 v x_4) ^ (-x_1 v -x_4 v -x_2) ^ (x_1 v -x_4 v -x_3) ^ (x_4 v x_2 v -x_0) ^ (x_3 v x_4)]
5,10,0.15625,0.0024394989013671875,0.02057170867919922,[(x_4 v x_2 v -x_3) ^ (-x_1 v -x_2) ^ (x_1 v x_2 v -x_0) ^ (x_1 v -x_2) ^ (x_0 v x_4) ^ (x_0 v x_1 v -x_4) ^ (x_0 v -x_1 v -x_2) ^ (-x_1 v x_2 v -x_0) ^ (-x_1 v -x_4 v -x_3) ^ (x_3 v -x_1 v -x_2)]
5,13,0.1875,0.0030651092529296875,0.022527694702148438,[(-x_1 v -x_3) ^ (x_3 v -x_2) ^ (x_0 v x_4 v -x_3) ^ (-x_4 v -x_0) ^ (x_3 v x_4 v -x_2) ^ (x_3 v x_1 v -x_4) ^ (-x_4 v -x_2 v -x_0) ^ (x_3 v x_1) ^ (x_1 v -x_4 v x_2) ^ (x_0 v x_4 v x_3) ^ (-x_2 v -x_3 v x_4) ^ (-x_1 v -x_2 v x_4) ^ (-x_4 v -x_3)]
5,9,0.1875,0.002251148223876953,0.02225780487060547,[(-x_1 v -x_3) ^ (-x_1 v -x_2) ^ (x_3 v x_1 v -x_2) ^ (x_1 v -x_4 v -x_2) ^ (x_3 v -x_4 v x_2) ^ (-x_4 v -x_2 v -x_0) ^ (x_3 v x_1) ^ (x_3 v -x_2 v -x_0) ^ (x_0 v x_1 v -x_2)]
5,6,0.125,0.0024836063385009766,0.01870250701904297,[(x_2 v -x_3) ^ (x_0 v -x_3) ^ (x_0 v x_1) ^ (x_3 v -x_1 v -x_2) ^ (-x_1 v x_3 v x_0) ^ (-x_1 v x_4 v -x_0)]
