size,clauses,kappa,time_iteration,memory (MB),formula
5,14,1,0.05894780158996582,1.0515756607055664,[(x_1 v -x_2) ^ (-x_1 v x_2 v -x_3) ^ (x_0 v x_4 v x_2) ^ (x_0 v -x_1 v x_2) ^ (x_0 v -x_1 v x_4) ^ (-x_1 v -x_4 v -x_2) ^ (-x_4 v -x_2) ^ (-x_0 v x_2 v -x_3) ^ (-x_2 v -x_3 v -x_0) ^ (x_1 v -x_4) ^ (x_3 v x_1 v -x_0) ^ (x_4 v -x_3) ^ (-x_2 v -x_3) ^ (x_3 v x_4 v -x_0)]
5,12,6,0.3508918285369873,0.7245283126831055,[(x_3 v -x_2) ^ (x_3 v x_1 v -x_2) ^ (x_1 v -x_2 v -x_3) ^ (x_1 v -x_3) ^ (x_3 v -x_4 v x_2) ^ (-x_1 v -x_4 v -x_2) ^ (-x_4 v -x_2) ^ (x_0 v -x_2 v -x_3) ^ (-x_1 v -x_2 v -x_3) ^ (x_0 v -x_4 v x_2) ^ (x_1 v x_4) ^ (-x_1 v x_4 v -x_0)]
6,15,1,0.03503012657165527,0.15795326232910156,[(x_3 v x_4 v x_2) ^ (-x_1 v -x_5 v -x_2) ^ (-x_5 v x_4) ^ (-x_1 v x_2 v -x_3) ^ (x_0 v x_4 v -x_3) ^ (-x_5 v -x_3 v -x_0) ^ (x_3 v -x_5 v -x_2) ^ (x_1 v -x_4 v -x_3) ^ (x_3 v -x_2 v x_5) ^ (-x_1 v -x_5 v x_2) ^ (x_3 v x_1 v -x_0) ^ (-x_1 v -x_2 v -x_0) ^ (x_3 v -x_5 v x_2) ^ (-x_4 v x_5 v -x_0) ^ (x_0 v x_1 v x_5)]
6,14,8,0.1210176944732666,0.5845117568969727,[(-x_1 v x_5 v x_0) ^ (-x_0 v -x_3) ^ (x_3 v -x_2 v x_4) ^ (x_0 v x_4 v x_2) ^ (-x_1 v -x_2 v x_0) ^ (x_3 v -x_4 v x_2) ^ (-x_1 v -x_5 v x_4) ^ (-x_1 v x_4 v x_2) ^ (-x_1 v x_4 v x_0) ^ (x_4 v x_5) ^ (x_4 v x_2 v -x_0) ^ (x_3 v x_1 v -x_0) ^ (x_3 v -x_1 v -x_4) ^ (x_0 v x_1 v -x_2)]
7,12,1,0.0791468620300293,0.27556419372558594,[(x_3 v -x_1) ^ (-x_0 v -x_3) ^ (-x_4 v -x_3 v -x_6) ^ (-x_0 v -x_5 v -x_6) ^ (-x_1 v x_5) ^ (x_1 v -x_5 v x_2) ^ (x_3 v -x_5 v -x_2) ^ (-x_1 v -x_4 v x_5) ^ (x_0 v x_2) ^ (-x_1 v x_6 v -x_2) ^ (-x_1 v x_4 v -x_6) ^ (-x_4 v -x_2 v x_5)]
7,18,12,0.10413956642150879,0.7472801208496094,[(x_6 v -x_2 v -x_0) ^ (x_3 v -x_2) ^ (-x_0 v -x_3) ^ (-x_1 v -x_4 v -x_0) ^ (-x_6 v -x_2 v -x_0) ^ (x_4 v x_5 v -x_3) ^ (x_0 v -x_5 v -x_2) ^ (x_0 v x_1 v -x_5) ^ (x_0 v -x_4 v -x_2) ^ (x_3 v -x_4) ^ (x_3 v -x_4 v -x_6) ^ (-x_6 v -x_5 v -x_0) ^ (-x_4 v -x_5 v x_2) ^ (x_6 v x_4 v -x_3) ^ (x_0 v -x_1 v -x_3) ^ (x_3 v -x_5) ^ (-x_0 v -x_5 v x_4) ^ (-x_1 v -x_6 v -x_3)]
8,9,1,0.03655433654785156,0.13320350646972656,[(x_1 v x_2 v x_5) ^ (x_6 v -x_4 v x_7) ^ (-x_1 v -x_7 v x_3) ^ (x_0 v -x_2 v x_7) ^ (x_3 v -x_2 v x_4) ^ (-x_4 v x_7 v -x_0) ^ (x_3 v x_6 v x_2) ^ (x_1 v -x_4 v x_7) ^ (-x_4 v -x_3)]
8,23,16,0.19938325881958008,1.277242660522461,[(-x_1 v -x_3 v -x_0) ^ (x_0 v x_1 v x_3) ^ (-x_5 v x_7 v x_4) ^ (x_6 v -x_4 v -x_0) ^ (x_5 v x_2 v -x_3) ^ (-x_7 v -x_5 v x_2) ^ (x_6 v -x_2) ^ (-x_6 v x_7 v -x_3) ^ (x_1 v -x_4 v -x_3) ^ (x_4 v -x_6) ^ (x_3 v -x_7 v x_4) ^ (x_6 v -x_4) ^ (x_0 v x_1 v -x_7) ^ (x_7 v x_5) ^ (x_4 v x_5 v -x_3) ^ (-x_1 v x_2 v x_0) ^ (x_3 v x_1 v -x_6) ^ (x_1 v x_4 v x_5) ^ (x_3 v x_1 v -x_2) ^ (x_6 v x_7 v x_5) ^ (x_4 v x_2 v -x_6) ^ (-x_0 v x_1 v -x_3) ^ (-x_7 v -x_2 v -x_6)]
9,24,1,0.037639617919921875,0.186370849609375,[(-x_7 v x_5 v x_8) ^ (x_0 v x_7 v x_4) ^ (x_6 v -x_7 v -x_5) ^ (x_6 v x_4 v -x_3) ^ (x_4 v x_5 v -x_8) ^ (-x_4 v x_7 v -x_3) ^ (-x_7 v x_4 v -x_8) ^ (x_0 v x_6 v -x_7) ^ (x_6 v -x_4 v -x_8) ^ (x_6 v -x_4) ^ (x_2 v -x_8 v -x_0) ^ (x_0 v -x_7 v x_4) ^ (x_0 v x_5) ^ (-x_2 v -x_5) ^ (-x_5 v -x_8 v -x_6) ^ (x_8 v -x_3 v -x_0) ^ (x_7 v x_2 v -x_6) ^ (x_2 v -x_8 v -x_3) ^ (-x_1 v -x_7 v x_3) ^ (-x_5 v -x_3 v -x_6) ^ (x_0 v -x_4 v -x_3) ^ (x_6 v x_8) ^ (x_3 v -x_7 v -x_8) ^ (x_7 v x_5 v -x_8)]
9,25,23,0.40358567237854004,1.796565055847168,[(x_1 v x_2 v x_8) ^ (x_1 v -x_2 v -x_5) ^ (-x_0 v x_6 v x_8) ^ (-x_1 v x_7) ^ (x_0 v -x_4) ^ (x_6 v x_4 v -x_3) ^ (x_4 v x_5 v -x_8) ^ (x_0 v x_6 v -x_4) ^ (x_0 v x_6 v x_8) ^ (x_2 v x_5 v -x_6) ^ (x_1 v -x_2) ^ (-x_5 v x_4) ^ (-x_4 v x_7) ^ (-x_7 v -x_2 v -x_0) ^ (x_2 v x_5) ^ (x_6 v -x_4 v x_7) ^ (x_0 v -x_1) ^ (x_5 v -x_8 v -x_3) ^ (-x_5 v -x_7 v -x_2) ^ (x_3 v x_7 v x_8) ^ (-x_2 v x_7) ^ (x_6 v -x_7 v -x_3) ^ (x_5 v x_2 v -x_6) ^ (x_7 v -x_8 v -x_3) ^ (-x_4 v x_7 v -x_8)]
