size,time_lumping,kappa,time_iteration,memory (MB),gate
5,0.11661791801452637,1,4.9591064453125e-05,0.4202117919921875,Grover over Toffoli with 5 q-bits
5,0.1066277027130127,6,3.24249267578125e-05,0.3665943145751953,Grover over Toffoli with 5 q-bits
6,0.4154353141784668,1,1.3589859008789062e-05,0.8319053649902344,Grover over Toffoli with 6 q-bits
6,0.4077913761138916,8,3.266334533691406e-05,0.8241472244262695,Grover over Toffoli with 6 q-bits
7,1.6448214054107666,1,2.6226043701171875e-05,2.9735145568847656,Grover over Toffoli with 7 q-bits
7,1.556791067123413,12,3.147125244140625e-05,2.959317207336426,Grover over Toffoli with 7 q-bits
8,6.571291208267212,1,1.4543533325195312e-05,8.044151306152344,Grover over Toffoli with 8 q-bits
8,5.806819200515747,16,3.123283386230469e-05,8.043931007385254,Grover over Toffoli with 8 q-bits
9,25.75421714782715,1,1.9550323486328125e-05,36.66620445251465,Grover over Toffoli with 9 q-bits
9,26.41532826423645,23,4.410743713378906e-05,36.664140701293945,Grover over Toffoli with 9 q-bits
10,109.4514377117157,1,0.00010371208190917969,107.17606163024902,Grover over Toffoli with 10 q-bits
10,108.53453850746155,32,4.410743713378906e-05,107.17598342895508,Grover over Toffoli with 10 q-bits
5,0.11368227005004883,1,4.00543212890625e-05,0.42383670806884766,Grover over Toffoli with 5 q-bits
5,0.1057288646697998,6,4.935264587402344e-05,0.36583805084228516,Grover over Toffoli with 5 q-bits
6,0.4021117687225342,1,2.4318695068359375e-05,0.8365678787231445,Grover over Toffoli with 6 q-bits
6,0.4218473434448242,8,4.601478576660156e-05,0.8290700912475586,Grover over Toffoli with 6 q-bits
7,1.6000640392303467,1,1.8596649169921875e-05,2.973735809326172,Grover over Toffoli with 7 q-bits
7,1.6159231662750244,12,6.699562072753906e-05,2.960036277770996,Grover over Toffoli with 7 q-bits
8,6.896916151046753,1,2.1219253540039062e-05,8.044427871704102,Grover over Toffoli with 8 q-bits
8,6.376147508621216,16,3.7670135498046875e-05,8.048853874206543,Grover over Toffoli with 8 q-bits
9,25.55616521835327,1,1.71661376953125e-05,36.66692352294922,Grover over Toffoli with 9 q-bits
9,25.971256256103516,23,6.29425048828125e-05,36.66469383239746,Grover over Toffoli with 9 q-bits
11,360.1036832332611,1,7.677078247070312e-05,542.7717809677124,Grover over Toffoli with 11 q-bits
11,inf,46,inf,540.9066276550293,Grover over Toffoli with 11 q-bits
11,341.6781098842621,1,5.316734313964844e-05,542.7629861831665,Grover over Toffoli with 11 q-bits
11,353.4177362918854,1,6.365776062011719e-05,542.7669687271118,Grover over Toffoli with 11 q-bits
11,inf,46,inf,541.1081447601318,Grover over Toffoli with 11 q-bits
11,337.6449873447418,1,1.8596649169921875e-05,542.7629861831665,Grover over Toffoli with 11 q-bits
11,inf,46,inf,541.2285633087158,Grover over Toffoli with 11 q-bits
11,339.77777433395386,1,4.935264587402344e-05,542.7690153121948,Grover over Toffoli with 11 q-bits
11,inf,46,inf,541.24192237854,Grover over Toffoli with 11 q-bits
