size,kappa,time_encoding,time_iteration,tot_time,memory (MB),gate
5,1,0.048840999603271484,0.6517233848571777,0.7005643844604492,0.8320245742797852,Grover over Toffoli with 5 q-bits
5,6,0.29703521728515625,inf,inf,4.685520172119141,Grover over Toffoli with 5 q-bits
6,1,0.08222365379333496,3.9540622234344482,4.036285877227783,1.2992067337036133,Grover over Toffoli with 6 q-bits
6,8,0.6648361682891846,inf,inf,10.100502967834473,Grover over Toffoli with 6 q-bits
7,1,0.11764836311340332,inf,inf,1.9813470840454102,Grover over Toffoli with 7 q-bits
8,1,0.1689455509185791,inf,inf,2.810431480407715,Grover over Toffoli with 8 q-bits
9,1,0.23451995849609375,inf,inf,3.7422924041748047,Grover over Toffoli with 9 q-bits
10,1,0.30994272232055664,inf,inf,4.843666076660156,Grover over Toffoli with 10 q-bits
11,1,0.37087106704711914,inf,inf,5.945714950561523,Grover over Toffoli with 11 q-bits
12,1,0.44258952140808105,inf,inf,7.292492866516113,Grover over Toffoli with 12 q-bits
13,1,0.5905697345733643,inf,inf,8.526721000671387,Grover over Toffoli with 13 q-bits
14,1,0.7268743515014648,inf,inf,9.63499927520752,Grover over Toffoli with 14 q-bits
15,1,0.8145706653594971,inf,inf,11.219701766967773,Grover over Toffoli with 15 q-bits
5,1,0.06412148475646973,0.6573164463043213,0.721437931060791,0.8320884704589844,Grover over Toffoli with 5 q-bits
5,6,0.2700164318084717,inf,inf,4.685520172119141,Grover over Toffoli with 5 q-bits
6,1,0.08461403846740723,3.973998785018921,4.058612823486328,1.2992067337036133,Grover over Toffoli with 6 q-bits
6,8,0.6382780075073242,inf,inf,10.100439071655273,Grover over Toffoli with 6 q-bits
7,1,0.11328625679016113,inf,inf,1.9813470840454102,Grover over Toffoli with 7 q-bits
8,1,0.16651010513305664,inf,inf,2.8103675842285156,Grover over Toffoli with 8 q-bits
9,1,0.2274799346923828,inf,inf,3.7422924041748047,Grover over Toffoli with 9 q-bits
10,1,0.29555535316467285,inf,inf,4.843666076660156,Grover over Toffoli with 10 q-bits
11,1,0.35004496574401855,inf,inf,5.945714950561523,Grover over Toffoli with 11 q-bits
12,1,0.43094897270202637,inf,inf,7.292492866516113,Grover over Toffoli with 12 q-bits
13,1,0.5104434490203857,inf,inf,8.526721000671387,Grover over Toffoli with 13 q-bits
14,1,0.6966414451599121,inf,inf,9.63499927520752,Grover over Toffoli with 14 q-bits
15,1,0.7721133232116699,inf,inf,11.219701766967773,Grover over Toffoli with 15 q-bits
5,1,0.04591012001037598,0.43590450286865234,0.4818146228790283,0.8372879028320312,Grover over Toffoli with 5 q-bits
5,6,0.2813587188720703,inf,inf,4.798405647277832,Grover over Toffoli with 5 q-bits
6,1,0.08431148529052734,6.809879541397095,6.894191026687622,1.3241186141967773,Grover over Toffoli with 6 q-bits
6,8,0.6449997425079346,inf,inf,10.314885139465332,Grover over Toffoli with 6 q-bits
7,1,0.11612701416015625,inf,inf,1.9813470840454102,Grover over Toffoli with 7 q-bits
8,1,0.1738874912261963,inf,inf,2.810431480407715,Grover over Toffoli with 8 q-bits
9,1,0.23833680152893066,inf,inf,3.7422924041748047,Grover over Toffoli with 9 q-bits
10,1,0.31069231033325195,inf,inf,4.843666076660156,Grover over Toffoli with 10 q-bits
11,1,0.41550660133361816,inf,inf,5.945714950561523,Grover over Toffoli with 11 q-bits
12,1,0.5657529830932617,inf,inf,7.292492866516113,Grover over Toffoli with 12 q-bits
13,1,0.6026167869567871,inf,inf,8.526721000671387,Grover over Toffoli with 13 q-bits
14,1,1.5176823139190674,inf,inf,9.63499927520752,Grover over Toffoli with 14 q-bits
15,1,0.9931826591491699,inf,inf,11.219701766967773,Grover over Toffoli with 15 q-bits
5,1,0.06907248497009277,0.491607666015625,0.5606801509857178,0.8372879028320312,Grover over Toffoli with 5 q-bits
5,6,0.31849217414855957,inf,inf,4.798405647277832,Grover over Toffoli with 5 q-bits
6,1,0.08536863327026367,6.548772811889648,6.634141445159912,1.3240547180175781,Grover over Toffoli with 6 q-bits
6,8,0.6631884574890137,inf,inf,10.314885139465332,Grover over Toffoli with 6 q-bits
7,1,0.11849093437194824,inf,inf,1.9813470840454102,Grover over Toffoli with 7 q-bits
8,1,0.16697049140930176,inf,inf,2.810431480407715,Grover over Toffoli with 8 q-bits
9,1,0.22043395042419434,inf,inf,3.7422924041748047,Grover over Toffoli with 9 q-bits
10,1,0.2945873737335205,inf,inf,4.843666076660156,Grover over Toffoli with 10 q-bits
11,1,0.3606746196746826,inf,inf,5.945714950561523,Grover over Toffoli with 11 q-bits
12,1,0.415482759475708,inf,inf,7.292492866516113,Grover over Toffoli with 12 q-bits
13,1,0.5080256462097168,inf,inf,8.526721000671387,Grover over Toffoli with 13 q-bits
14,1,0.691002368927002,inf,inf,9.63499927520752,Grover over Toffoli with 14 q-bits
15,1,0.8193483352661133,inf,inf,11.219701766967773,Grover over Toffoli with 15 q-bits
5,1,0.0498194694519043,0.6130335330963135,0.6628530025482178,0.8320884704589844,Grover over Toffoli with 5 q-bits
5,6,0.26769018173217773,inf,inf,4.685520172119141,Grover over Toffoli with 5 q-bits
6,1,0.08362507820129395,3.7711105346679688,3.8547356128692627,1.2992067337036133,Grover over Toffoli with 6 q-bits
6,8,0.637986421585083,inf,inf,10.100502967834473,Grover over Toffoli with 6 q-bits
7,1,0.11177206039428711,inf,inf,1.981283187866211,Grover over Toffoli with 7 q-bits
8,1,0.16230368614196777,inf,inf,2.810431480407715,Grover over Toffoli with 8 q-bits
9,1,0.21621060371398926,inf,inf,3.7422924041748047,Grover over Toffoli with 9 q-bits
10,1,0.28357481956481934,inf,inf,4.843602180480957,Grover over Toffoli with 10 q-bits
11,1,0.3519589900970459,inf,inf,5.945714950561523,Grover over Toffoli with 11 q-bits
12,1,0.4407036304473877,inf,inf,7.292492866516113,Grover over Toffoli with 12 q-bits
13,1,0.5243334770202637,inf,inf,8.526721000671387,Grover over Toffoli with 13 q-bits
14,1,0.7115523815155029,inf,inf,9.63499927520752,Grover over Toffoli with 14 q-bits
15,1,0.7959494590759277,inf,inf,11.219701766967773,Grover over Toffoli with 15 q-bits
5,1,0.03307390213012695,0.41811633110046387,0.4511902332305908,0.8320884704589844,Grover over Toffoli with 5 q-bits
